Kabupaten Kota,Provinsi,Jumlah Produksi Sampah,Satuan,Tahun
KABUPATEN INDRAMAYU,JAWA BARAT,613.18,TON PER HARI,2017
KABUPATEN SUBANG,JAWA BARAT,487.26,TON PER HARI,2017
KABUPATEN PURWAKARTA,JAWA BARAT,308.96,TON PER HARI,2017
KABUPATEN KARAWANG,JAWA BARAT,869.86,TON PER HARI,2017
KABUPATEN BEKASI,JAWA BARAT,1228.6,TON PER HARI,2017
KABUPATEN BANDUNG BARAT,JAWA BARAT,616.08,TON PER HARI,2017
KABUPATEN PANGANDARAN,JAWA BARAT,185.83,TON PER HARI,2017
KOTA BOGOR,JAWA BARAT,991.93,TON PER HARI,2017
KOTA SUKABUMI,JAWA BARAT,309.91,TON PER HARI,2017
KOTA BANDUNG,JAWA BARAT,2448.63,TON PER HARI,2017
KOTA CIREBON,JAWA BARAT,304.15,TON PER HARI,2017
KOTA BEKASI,JAWA BARAT,2387.08,TON PER HARI,2017
KOTA DEPOK,JAWA BARAT,1844.3,TON PER HARI,2017
KOTA CIMAHI,JAWA BARAT,563.21,TON PER HARI,2017
KOTA TASIKMALAYA,JAWA BARAT,472.36,TON PER HARI,2017
KOTA BANJAR,JAWA BARAT,130.21,TON PER HARI,2017
KABUPATEN BOGOR,JAWA BARAT,1716.8,TON PER HARI,2018
KABUPATEN SUKABUMI,JAWA BARAT,415.5,TON PER HARI,2018
KABUPATEN CIANJUR,JAWA BARAT,965.19,TON PER HARI,2018
KABUPATEN BANDUNG,JAWA BARAT,2068.06,TON PER HARI,2018
KABUPATEN GARUT,JAWA BARAT,473.89,TON PER HARI,2018
KABUPATEN TASIKMALAYA,JAWA BARAT,458.45,TON PER HARI,2018
KABUPATEN CIAMIS,JAWA BARAT,263.01,TON PER HARI,2018
KABUPATEN KUNINGAN,JAWA BARAT,248.52,TON PER HARI,2018
KABUPATEN CIREBON,JAWA BARAT,466.25,TON PER HARI,2018
KABUPATEN MAJALENGKA,JAWA BARAT,249.26,TON PER HARI,2018
KABUPATEN SUMEDANG,JAWA BARAT,236.12,TON PER HARI,2018
KABUPATEN INDRAMAYU,JAWA BARAT,603.11,TON PER HARI,2018
KABUPATEN SUBANG,JAWA BARAT,498.7,TON PER HARI,2018
KABUPATEN PURWAKARTA,JAWA BARAT,323.87,TON PER HARI,2018
KABUPATEN KARAWANG,JAWA BARAT,896.85,TON PER HARI,2018
KABUPATEN BEKASI,JAWA BARAT,1600.71,TON PER HARI,2018
KABUPATEN BANDUNG BARAT,JAWA BARAT,663.54,TON PER HARI,2018
KABUPATEN PANGANDARAN,JAWA BARAT,171.21,TON PER HARI,2018
KOTA BOGOR,JAWA BARAT,1069.41,TON PER HARI,2018
KOTA SUKABUMI,JAWA BARAT,318.12,TON PER HARI,2018
KOTA BANDUNG,JAWA BARAT,2441.12,TON PER HARI,2018
KOTA CIREBON,JAWA BARAT,308.37,TON PER HARI,2018
KOTA BEKASI,JAWA BARAT,2858.6,TON PER HARI,2018
KOTA DEPOK,JAWA BARAT,2272.07,TON PER HARI,2018
KOTA CIMAHI,JAWA BARAT,592.62,TON PER HARI,2018
KOTA TASIKMALAYA,JAWA BARAT,465.23,TON PER HARI,2018
KOTA BANJAR,JAWA BARAT,128.34,TON PER HARI,2018
KABUPATEN BOGOR,JAWA BARAT,2914.65,TON PER HARI,2019
KABUPATEN SUKABUMI,JAWA BARAT,1003.64,TON PER HARI,2019
KABUPATEN CIANJUR,JAWA BARAT,1115.81,TON PER HARI,2019
KABUPATEN BANDUNG,JAWA BARAT,1334.12,TON PER HARI,2019
KABUPATEN GARUT,JAWA BARAT,1144.01,TON PER HARI,2019
KABUPATEN TASIKMALAYA,JAWA BARAT,753.06,TON PER HARI,2019
KABUPATEN CIAMIS,JAWA BARAT,560.57,TON PER HARI,2019
KABUPATEN KUNINGAN,JAWA BARAT,537.25,TON PER HARI,2019
KABUPATEN CIREBON,JAWA BARAT,3.15,TON PER HARI,2019
KABUPATEN MAJALENGKA,JAWA BARAT,515.7,TON PER HARI,2019
KABUPATEN SUMEDANG,JAWA BARAT,436.96,TON PER HARI,2019
KABUPATEN INDRAMAYU,JAWA BARAT,1071.05,TON PER HARI,2019
KABUPATEN SUBANG,JAWA BARAT,1012.45,TON PER HARI,2019
KABUPATEN PURWAKARTA,JAWA BARAT,384.43,TON PER HARI,2019
KABUPATEN KARAWANG,JAWA BARAT,934.4,TON PER HARI,2019
KABUPATEN BEKASI,JAWA BARAT,2590.0,TON PER HARI,2019
KABUPATEN BANDUNG BARAT,JAWA BARAT,1124.5,TON PER HARI,2019
KABUPATEN PANGANDARAN,JAWA BARAT,250.23,TON PER HARI,2019
KOTA BOGOR,JAWA BARAT,620.55,TON PER HARI,2019
KOTA SUKABUMI,JAWA BARAT,172.82,TON PER HARI,2019
KOTA BANDUNG,JAWA BARAT,1575.73,TON PER HARI,2019
KOTA CIREBON,JAWA BARAT,245.0,TON PER HARI,2019
KOTA BEKASI,JAWA BARAT,2060.7,TON PER HARI,2019
KOTA DEPOK,JAWA BARAT,1469.77,TON PER HARI,2019
KOTA CIMAHI,JAWA BARAT,267.74,TON PER HARI,2019
KOTA TASIKMALAYA,JAWA BARAT,291.6,TON PER HARI,2019
KOTA BANJAR,JAWA BARAT,100.67,TON PER HARI,2019
KABUPATEN BOGOR,JAWA BARAT,2977.0,TON PER HARI,2020
KABUPATEN SUKABUMI,JAWA BARAT,1006.0,TON PER HARI,2020
KABUPATEN CIANJUR,JAWA BARAT,1117.0,TON PER HARI,2020
KABUPATEN BANDUNG,JAWA BARAT,1355.0,TON PER HARI,2020
KABUPATEN GARUT,JAWA BARAT,1151.0,TON PER HARI,2020
KABUPATEN TASIKMALAYA,JAWA BARAT,754.0,TON PER HARI,2020
KABUPATEN CIAMIS,JAWA BARAT,564.0,TON PER HARI,2020
KABUPATEN KUNINGAN,JAWA BARAT,540.0,TON PER HARI,2020
KABUPATEN CIREBON,JAWA BARAT,1096.0,TON PER HARI,2020
KABUPATEN MAJALENGKA,JAWA BARAT,518.0,TON PER HARI,2020
KABUPATEN SUMEDANG,JAWA BARAT,438.0,TON PER HARI,2020
KABUPATEN INDRAMAYU,JAWA BARAT,1077.0,TON PER HARI,2020
KABUPATEN SUBANG,JAWA BARAT,1023.0,TON PER HARI,2020
KABUPATEN PURWAKARTA,JAWA BARAT,388.0,TON PER HARI,2020
KABUPATEN KARAWANG,JAWA BARAT,942.0,TON PER HARI,2020
KABUPATEN BEKASI,JAWA BARAT,2258.0,TON PER HARI,2020
KABUPATEN BANDUNG BARAT,JAWA BARAT,1135.0,TON PER HARI,2020
KABUPATEN PANGANDARAN,JAWA BARAT,252.0,TON PER HARI,2020
KOTA BOGOR,JAWA BARAT,567.0,TON PER HARI,2020
KOTA SUKABUMI,JAWA BARAT,181.0,TON PER HARI,2020
KOTA BANDUNG,JAWA BARAT,1630.0,TON PER HARI,2020
KOTA CIREBON,JAWA BARAT,192.0,TON PER HARI,2020
KOTA BEKASI,JAWA BARAT,1923.0,TON PER HARI,2020
KOTA DEPOK,JAWA BARAT,1516.0,TON PER HARI,2020
KOTA CIMAHI,JAWA BARAT,369.0,TON PER HARI,2020
KOTA TASIKMALAYA,JAWA BARAT,285.0,TON PER HARI,2020
KOTA BANJAR,JAWA BARAT,79.0,TON PER HARI,2020
KABUPATEN BOGOR,JAWA BARAT,971.59,TON PER HARI,2021
KABUPATEN SUKABUMI,JAWA BARAT,356.02,TON PER HARI,2021
KABUPATEN CIANJUR,JAWA BARAT,355.69,TON PER HARI,2021
KABUPATEN BANDUNG,JAWA BARAT,1489.04,TON PER HARI,2021
KABUPATEN GARUT,JAWA BARAT,321.17,TON PER HARI,2021
KABUPATEN TASIKMALAYA,JAWA BARAT,172.26,TON PER HARI,2021
KABUPATEN CIAMIS,JAWA BARAT,159.41,TON PER HARI,2021
KABUPATEN KUNINGAN,JAWA BARAT,405.76,TON PER HARI,2021
KABUPATEN CIREBON,JAWA BARAT,242.52,TON PER HARI,2021
KABUPATEN MAJALENGKA,JAWA BARAT,546.54,TON PER HARI,2021
KABUPATEN SUMEDANG,JAWA BARAT,707.75,TON PER HARI,2021
KABUPATEN INDRAMAYU,JAWA BARAT,792.48,TON PER HARI,2021
KABUPATEN SUBANG,JAWA BARAT,739.6,TON PER HARI,2021
KABUPATEN PURWAKARTA,JAWA BARAT,239.72,TON PER HARI,2021
KABUPATEN KARAWANG,JAWA BARAT,614.61,TON PER HARI,2021
KABUPATEN BEKASI,JAWA BARAT,1193.76,TON PER HARI,2021
KABUPATEN BANDUNG BARAT,JAWA BARAT,201.09,TON PER HARI,2021
KABUPATEN PANGANDARAN,JAWA BARAT,46.62,TON PER HARI,2021
KOTA BOGOR,JAWA BARAT,719.72,TON PER HARI,2021
KOTA SUKABUMI,JAWA BARAT,232.06,TON PER HARI,2021
KOTA BANDUNG,JAWA BARAT,1529.04,TON PER HARI,2021
KOTA CIREBON,JAWA BARAT,229.75,TON PER HARI,2021
KOTA BEKASI,JAWA BARAT,1500.77,TON PER HARI,2021
KOTA DEPOK,JAWA BARAT,1418.87,TON PER HARI,2021
KOTA CIMAHI,JAWA BARAT,193.36,TON PER HARI,2021
KOTA TASIKMALAYA,JAWA BARAT,295.87,TON PER HARI,2021
KOTA BANJAR,JAWA BARAT,60.29,TON PER HARI,2021
KABUPATEN BOGOR,JAWA BARAT,,TON PER HARI,2022
KABUPATEN SUKABUMI,JAWA BARAT,,TON PER HARI,2022
KABUPATEN CIANJUR,JAWA BARAT,,TON PER HARI,2022
KABUPATEN BANDUNG,JAWA BARAT,,TON PER HARI,2022
KABUPATEN GARUT,JAWA BARAT,,TON PER HARI,2022
KABUPATEN TASIKMALAYA,JAWA BARAT,,TON PER HARI,2022
KABUPATEN CIAMIS,JAWA BARAT,,TON PER HARI,2022
KABUPATEN KUNINGAN,JAWA BARAT,,TON PER HARI,2022
KABUPATEN CIREBON,JAWA BARAT,,TON PER HARI,2022
KABUPATEN MAJALENGKA,JAWA BARAT,,TON PER HARI,2022
KABUPATEN SUMEDANG,JAWA BARAT,,TON PER HARI,2022
KABUPATEN INDRAMAYU,JAWA BARAT,,TON PER HARI,2022
KABUPATEN SUBANG,JAWA BARAT,,TON PER HARI,2022
KABUPATEN PURWAKARTA,JAWA BARAT,,TON PER HARI,2022
KABUPATEN KARAWANG,JAWA BARAT,,TON PER HARI,2022
KABUPATEN BEKASI,JAWA BARAT,,TON PER HARI,2022
KABUPATEN BANDUNG BARAT,JAWA BARAT,,TON PER HARI,2022
KABUPATEN PANGANDARAN,JAWA BARAT,,TON PER HARI,2022
KOTA BOGOR,JAWA BARAT,,TON PER HARI,2022
KOTA SUKABUMI,JAWA BARAT,,TON PER HARI,2022
KOTA BANDUNG,JAWA BARAT,,TON PER HARI,2022
KOTA CIREBON,JAWA BARAT,,TON PER HARI,2022
KOTA BEKASI,JAWA BARAT,,TON PER HARI,2022
KOTA DEPOK,JAWA BARAT,,TON PER HARI,2022
KOTA CIMAHI,JAWA BARAT,,TON PER HARI,2022
KOTA TASIKMALAYA,JAWA BARAT,,TON PER HARI,2022
KOTA BANJAR,JAWA BARAT,,TON PER HARI,2022
KABUPATEN BOGOR,JAWA BARAT,,TON PER HARI,2023
KABUPATEN SUKABUMI,JAWA BARAT,,TON PER HARI,2023
KABUPATEN CIANJUR,JAWA BARAT,,TON PER HARI,2023
KABUPATEN BANDUNG,JAWA BARAT,,TON PER HARI,2023
KABUPATEN GARUT,JAWA BARAT,,TON PER HARI,2023
KABUPATEN TASIKMALAYA,JAWA BARAT,,TON PER HARI,2023
KABUPATEN CIAMIS,JAWA BARAT,,TON PER HARI,2023
KABUPATEN KUNINGAN,JAWA BARAT,,TON PER HARI,2023
KABUPATEN CIREBON,JAWA BARAT,,TON PER HARI,2023
KABUPATEN MAJALENGKA,JAWA BARAT,,TON PER HARI,2023
KABUPATEN SUMEDANG,JAWA BARAT,,TON PER HARI,2023
KABUPATEN INDRAMAYU,JAWA BARAT,,TON PER HARI,2023
KABUPATEN SUBANG,JAWA BARAT,,TON PER HARI,2023
KABUPATEN PURWAKARTA,JAWA BARAT,,TON PER HARI,2023
KABUPATEN KARAWANG,JAWA BARAT,,TON PER HARI,2023
KABUPATEN BEKASI,JAWA BARAT,,TON PER HARI,2023
KABUPATEN BANDUNG BARAT,JAWA BARAT,,TON PER HARI,2023
KABUPATEN PANGANDARAN,JAWA BARAT,,TON PER HARI,2023
KOTA BOGOR,JAWA BARAT,,TON PER HARI,2023
KOTA SUKABUMI,JAWA BARAT,,TON PER HARI,2023
KOTA BANDUNG,JAWA BARAT,,TON PER HARI,2023
KOTA CIREBON,JAWA BARAT,,TON PER HARI,2023
KOTA BEKASI,JAWA BARAT,,TON PER HARI,2023
KOTA DEPOK,JAWA BARAT,,TON PER HARI,2023
KOTA CIMAHI,JAWA BARAT,,TON PER HARI,2023
KOTA TASIKMALAYA,JAWA BARAT,,TON PER HARI,2023
KOTA BANJAR,JAWA BARAT,,TON PER HARI,2023
